JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater
900,12,-140,3,6,-9999,9,-13,-167
901,12,-140,3,5,-9999,8,-5,-167
902,12,-142,3,3,-9999,6,-13,-169
903,11,-144,3,3,-9999,5,-16,-175
904,12,-146,3,2,-9999,5,-23,-176
905,11,-147,2,2,-9999,5,-27,-177
906,12,-148,2,4,-9999,5,-30,-177
907,12,-148,3,5,-9999,5,-33,-178
908,9,-148,6,4,-9999,5,-34,-178
909,10,-150,5,5,-9999,5,-37,-175
910,11,-152,6,6,-9999,5,-38,-174
911,10,-152,6,7,-9999,4,-40,-175
912,9,-152,5,4,-9999,4,-42,-175
913,10,-152,6,6,-9999,4,-44,-175
914,8,-152,5,5,-9999,3,-46,-175
915,15,-153,5,-21,-9999,4,-48,-176
916,16,-150,8,6,-9999,-9999,-55,-168
917,18,-150,7,2,-9999,-9999,-49,-173
918,16,-148,6,4,-9999,-9999,-49,-174
919,16,-150,6,2,-9999,-9999,-54,-179
920,15,-153,6,1,-9999,-9999,-61,-179
921,14,-154,6,1,-9999,-9999,-67,-179
922,14,-155,6,-6,-9999,2,-72,-178
923,13,-155,6,1,-9999,2,-76,-178
924,13,-155,6,2,-9999,3,-80,-178
925,14,-154,6,4,-9999,2,-84,-179
926,12,-154,6,3,-9999,2,-85,-179
927,13,-155,6,3,-9999,3,-85,-179
928,12,-154,6,2,-9999,2,-85,-179
929,12,-154,6,1,-9999,2,-85,-179
930,15,-154,7,3,-9999,2,-85,-179
931,14,-155,6,0,-9999,2,-85,-179
932,17,-146,7,4,-9999,4,-84,-178
933,15,-146,7,2,-9999,4,-84,-178
934,16,-150,6,3,-9999,4,-84,-179
935,15,-152,6,2,-9999,2,-85,-179
936,13,-153,6,3,-9999,2,-85,-180
937,11,-154,6,-1,-9999,1,-85,-180
938,13,-155,7,2,-9999,2,-85,-179
939,15,-140,8,3,-9999,2,-85,-179
940,17,-126,8,4,-9999,7,-85,-178
941,14,-129,7,2,-9999,3,-85,-178
942,13,-136,6,2,-9999,2,-85,-180
943,14,-142,7,4,-9999,3,-85,-180
944,13,-145,7,3,-9999,2,-85,-180
945,12,-147,6,2,-9999,2,-85,-180
946,12,-148,7,3,-9999,3,-85,-180
947,12,-151,7,3,-9999,2,-85,-180
948,14,-151,7,3,-9999,2,-85,-180
949,13,-148,7,3,-9999,3,-85,-180
950,12,-149,7,2,-9999,2,-85,-179
951,12,-151,8,2,-9999,3,-85,-179
952,11,-154,8,3,-9999,3,-85,-179
953,16,-152,7,3,-9999,2,-85,-179
954,15,-140,8,4,-9999,4,-77,-179
955,16,-140,8,4,-9999,3,-77,-178
956,15,-143,7,4,-9999,2,-77,-180
957,16,-145,7,4,-9999,2,-84,-179
958,15,-146,7,5,-9999,2,-85,-178
959,15,-148,8,4,-9999,1,-85,-179
960,16,-149,8,3,-9999,2,-85,-180
961,14,-150,7,1,-9999,0,-85,-180
962,14,-151,7,0,-9999,1,-85,-179
963,14,-152,8,1,-9999,3,-84,-179
964,14,-152,7,3,-9999,2,-85,-178
965,14,-152,7,4,-9999,4,-84,-177
966,14,-153,8,3,-9999,2,-84,-178
967,14,-154,8,3,-9999,2,-84,-179
968,14,-155,8,2,-9999,1,-84,-179
969,13,-155,8,2,-9999,0,-84,-179
970,13,-155,8,2,-9999,1,-85,-179
971,17,-147,10,6,-9999,6,-84,-177
972,14,-145,7,2,-9999,1,-84,-177
973,14,-148,7,2,-9999,0,-84,-177
974,14,-150,7,3,-9999,2,-82,-178
975,16,-152,9,3,-9999,2,-84,-177
976,18,-147,10,4,-9999,6,-84,-177
977,18,-135,9,4,-9999,2,-84,-177
978,18,-133,9,5,-9999,6,-85,-178
979,19,-131,9,7,-9999,5,-54,-172
980,19,-132,8,4,-9999,1,-60,-173
981,19,-134,8,6,-9999,4,-50,-173
982,18,-132,8,7,-9999,4,-27,-174
983,17,-124,8,5,-9999,0,-14,-172
984,16,-123,8,4,-9999,0,-17,-172
985,16,-127,7,4,-9999,0,-20,-172
986,16,-131,7,5,-9999,2,-26,-173
987,17,-134,8,7,-9999,2,-34,-173
988,18,-136,9,6,-9999,2,-39,-173
989,16,-137,7,3,-9999,0,-41,-173
990,15,-140,7,3,-9999,1,-43,-174
991,16,-141,8,4,-9999,2,-46,-174
992,19,-142,9,8,-9999,3,-48,-174
993,15,-139,7,4,-9999,1,-42,-175
994,15,-141,7,2,-9999,1,-45,-175
995,18,-143,9,6,-9999,3,-47,-176
996,17,-143,8,8,-9999,7,-7,-175
997,16,-131,8,4,-9999,3,-14,-176
998,15,-131,7,3,-9999,1,-18,-177
999,16,-134,7,3,-9999,3,-20,-177
1000,19,-136,9,8,-9999,4,-23,-178
1001,18,-131,9,7,-9999,5,-6,-176
1002,16,-131,8,5,-9999,2,-10,-175
1003,15,-133,7,3,-9999,1,-12,-175
1004,16,-136,7,4,-9999,2,-13,-175
1005,15,-137,7,3,-9999,2,-14,-175
1006,18,-138,8,6,-9999,5,-14,-175
1007,18,-131,9,6,-9999,4,-10,-175
1008,16,-127,8,4,-9999,2,-13,-175
1009,18,-129,8,4,-9999,2,-14,-175
